"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"004","28209","EECE 337 (3, 3)","Curr &amp; Environmental Design I","T","4:35 PM - 7:05 PM",", ","PH 016","25","25","In-Person",
"001","29007","EECE 338 (3, 3)","Curr &amp; Environmental Design II","M","4:35 PM - 7:05 PM","Dimelfi, Noelle","KY 431","25","25","In-Person",
"004","28581","EECE 338 (3, 3)","Curr &amp; Environmental Design II","W","4:35 PM - 7:05 PM","Cespedes, Michele","KY 321","10","25","In-Person",
"003","28580","EECE 338 (3, 3)","Curr &amp; Environmental Design II","W","4:35 PM - 7:05 PM","Malyukova, Anna","PH 018","25","25","In-Person",
"005","29010","EECE 338 (3, 3)","Curr &amp; Environmental Design II","TH","4:35 PM - 7:05 PM",", ","PH 013","24","25","In-Person",
"002","29008","EECE 338 (3, 3)","Curr &amp; Environmental Design II","M","4:35 PM - 7:05 PM","Marino, Debbie","RA 206","24","25","In-Person",
"001","28388","EECE 340 (3, 3)","Early Dev Lang&amp; Lit","M","4:35 PM - 7:05 PM","Hicks, Tiffany","KY 271","13","25","In-Person",
"003","28579","EECE 340 (3, 3)","Early Dev Lang&amp; Lit","W","9:10 AM - 12:00 PM","Malyukova, Anna","PH 016","24","25","In-Person",
"005","29012","EECE 340 (3, 3)","Early Dev Lang&amp; Lit","TH","9:10 AM - 12:00 PM",", ","PH 016","25","25","In-Person",
"004","29011","EECE 340 (3, 3)","Early Dev Lang&amp; Lit","W","4:35 PM - 7:05 PM",", ","PH 108","10","25","In-Person",
"005","28792","EECE 341 (3, 3)","Lang &amp; Lit Dev: Tchg Rdg","W","9:10 AM - 12:00 PM",", ","PH 015","25","25","In-Person",
"004","28574","EECE 341 (3, 3)","Lang &amp; Lit Dev: Tchg Rdg","T","4:35 PM - 7:05 PM","Fagundes, Livia","PH 015","25","25","In-Person",
"002","28575","EECE 341 (3, 3)","Lang &amp; Lit Dev: Tchg Rdg","T","1:00 PM - 3:40 PM",", ","PH 015","21","25","In-Person",
"003","28387","EECE 341 (3, 3)","Lang &amp; Lit Dev: Tchg Rdg","M","4:35 PM - 7:05 PM","Fagundes, Livia","PH 108","25","25","In-Person",
